#Row,name,alt_name,ra,dec,constell,dimension,vmag,vmag_uncert,class
1,M 7,NGC 6475,268.4748,-34.8167,SCO,80,3.3,null,3600
2,M 69,NGC 6637,277.8498,-32.35,SGR,7,7.7,null,3080
3,M 70,NGC 6681,280.7998,-32.3,SGR,8,8.1,null,3080
4,M 6,NGC 6405,265.0248,-32.2167,SCO,15,4.2,null,3600
5,M 55,NGC 6809,294.9998,-30.9667,SGR,19,7.0,null,3080
6,M 54,NGC 6715,283.7748,-30.4833,SGR,9,7.7,null,3080
7,M 62,NGC 6266,255.2998,-30.1166,OPH,14,6.6,null,3080
8,M 83,NGC 5236,204.2498,-29.8666,HYA,11X10,7.6,:,6200
9,M 68,NGC 4590,189.8748,-26.7499,HYA,12,8.2,null,3080
10,M 4,NGC 6121,245.8998,-26.5333,SCO,26,5.9,null,3080
11,M 19,NGC 6273,255.6498,-26.2667,OPH,14,7.2,null,3080
12,M 28,NGC 6626,276.1248,-24.8667,SGR,11,6.9,:,3080
13,M 79,NGC 1904,81.1249,-24.55,LEP,9,8.0,null,3080
14,M 8,NGC 6523,270.9498,-24.3833,SGR,90X40,5.8,:,3500
15,M 22,NGC 6656,279.0998,-23.9,SGR,24,5.1,null,3080
16,M 93,NGC 2447,116.1499,-23.8666,PUP,22,6.2,:,3600
17,M 30,NGC 7099,325.0998,-23.1834,CAP,11,7.5,null,3080
18,M 20,NGC 6514,270.6498,-23.0333,SGR,29X27,8.5,:,3500
19,M 80,NGC 6093,244.2498,-22.9833,SCO,9,7.2,null,3080
20,M 21,NGC 6531,271.1498,-22.5,SGR,13,5.9,null,3600
21,M 75,NGC 6864,301.5248,-21.9167,SGR,6,8.6,null,3080
22,M 41,NGC 2287,101.7499,-20.7333,CMA,38,4.5,null,3600
23,M 25,IC4725,277.8998,-19.25,SGR,32,4.6,null,3600
24,M 23,NGC 6494,269.1998,-19.0167,SGR,27,5.5,null,3600
25,M 9,NGC 6333,259.7998,-18.5167,OPH,9,7.9,:,3080
26,M 24,null,274.2248,-18.4833,SGR,90,4.5,:,9999
27,M 18,NGC 6613,274.9748,-17.1333,SGR,9,6.9,null,3600
28,M 17,NGC 6618,275.1998,-16.1833,SGR,46X37,7.0,*,3500
29,M 46,NGC 2437,115.4499,-14.8166,PUP,27,6.1,null,3600
